Date,tweet_id,tweet_content,likes,retweets,username,followers,tweet_language,verified
2023-04-12 03:40:17+00:00,1645995224576180225,"I feel awkward when some Aapians say what @indian_nagrik has done for party, when they see him bluntly ask accounta… https://t.co/vHWLmiQJ2I",57,20,mshahi0024,2326,en,FALSE
2023-04-12 03:20:07+00:00,1.64599E+18,Ground report: AAP is gaining momentum in Jalandhar and Congress is losing votes every day. It was one of the easie… https://t.co/Gp49Q62ry6,79,32,DeolSirsa,1805,en,FALSE
2023-04-12 03:12:46+00:00,1645988299184701441,"1 traitor per state, an Owaisi &amp; One kejriwal in each state &amp; INC will be over run by peeparty in most states. Add… https://t.co/SnRf7Kc45U",23,4,MetarSpeci,604,en,FALSE
2023-04-12 02:44:03+00:00,1645981074047275008,"Word of thanks and appreciation for @indian_nagrik as AAP supporter and volutneer.
Sitting abroad ,how much he does… https://t.co/6t4gzP7TZW",186,64,Kishlaysharma,11935,en,FALSE
2023-04-12 02:39:59+00:00,1645980052377735168,Senior AAP leader and Rajya Sabha Member @SanjayAzadSln will address an important press conference today at 12 noon https://t.co/gBBFSfGl5i,332,116,AamAadmiParty,6475162,en,TRUE
2023-04-12 02:36:58+00:00,1645979290826342402,"That’s really bad

It’s not even 10-15 days since Arvind Kejriwal fixed Manish Sisodia

And Aatishi Marlena started… https://t.co/VmDLALVxtW",654,370,FltLtAnoopVerma,30663,en,FALSE
2023-04-12 01:54:20+00:00,1645968562341785601,"Congratulations @priinccess5 Haina Na Zainuu❤️😍 for 10K!
Meao Meao you deserve this more than anyone else! 
Aap and… https://t.co/WwrXZjX7Rg",18,8,seno_112,5241,en,FALSE
2023-04-11 21:42:08+00:00,1645905095257894912,"Hum females make up karein ya na karein , parda karein Ya na karein , aap apni sooch ko saaf karein. Its needs Deep… https://t.co/nvaJWrymDt",53,5,BeingSNK,8408,en,FALSE
2023-04-11 21:33:44+00:00,1645902979659350016,Waisay @agentjay2009 1500 ke hisaab sey 27.6k tweets and videos ke aap khud laga dain. Account details share karoo’n?? 😜@MashwaniAzhar,33,2,SDJasmine,8815,en,FALSE
2023-04-11 21:19:07+00:00,1645899302903107584,"If he joins AAP in Rajasthan, he won't get even 5% votes overall.

He is NOT a mass leader but a future asset only… https://t.co/pyzXUBmKrV",577,69,TimesAlgebraIND,59596,en,FALSE
