,Date,ID,likes,retweet,Username,Followers,language,verified,Links,Tweets
30,2023-04-20 08:02:00+00:00,1648960189981425664,33,11,NewscastGlobal,6009,en,False,https://t.co/kvFH59d1iH'],"#India saw record ₹149.5tn #UPI, #CardTransactions in 2022. As per report, UPI clocked ₹74.05+bn transactions in vo… "
36,2023-04-20 04:01:59+00:00,1648899790896517120,16,10,playotaapp,5341,en,False,https://t.co/kvFH59d1iH'],"Here are three easy steps to deposit Yota on @playotaapp and get a 400% bonus on your deposit: 
☑️ Tap the Deposit… "
58,2023-04-19 08:47:42+00:00,1648609303820144640,73,96,Musical_Ashaa,4935,en,False,https://t.co/kvFH59d1iH'],Don't let scammers fool you! Always remember to keep your UPI PIN private! #SafeRahoUPIKaro with @upichalega as it… 
16,2023-04-20 20:47:17+00:00,1649152783277256704,24,5,GraceLancers,4476,en,False,https://t.co/kvFH59d1iH'],"Great afternoon for our official groundbreaking for Tom Roy - UPI Park for @GraceCollegeBSB!
Live stream at… "
13,2023-04-21 00:56:23+00:00,1649215469511925761,32,5,GraceLancers,4476,en,False,https://t.co/kvFH59d1iH'],"BASEBALL: Groundbreaking ceremony enjoyed for Tom Roy - UPI Park for @GraceCollegeBSB 
Read more:… "
18,2023-04-20 18:08:11+00:00,1649112741758783489,656,138,chakravartiin,4445,en,False,https://t.co/kvFH59d1iH'],Someone should tell her how she lives in world's largest democracy with $ 3 trillion GDP the peaceful land of Buddh… 
40,2023-04-20 01:44:19+00:00,1648865146226311169,96,9,Gautaamm,4283,en,False,https://t.co/kvFH59d1iH'],"This is a fun challenge! 

@vijayshekhar  I got one for you too! 

Kayani Bakery in Pune, very famous, accepts cred… "
10,2023-04-21 05:14:04+00:00,1649280317465989120,69,77,arvindtw,3401,en,False,https://t.co/kvFH59d1iH'],India's #fintech landscape is registering unprecedented growth. Launch of the 'Digital India' program &amp; #UPI brough… 
41,2023-04-20 01:39:42+00:00,1648863983464747008,13,7,lovemoz1,2962,en,False,https://t.co/kvFH59d1iH'],🦠🪿Keeping an 👁️ on it… #H5N1 #avianflu #avianinfluenza #BirdFlu #birdphotography #IDTwitter #EmergingDiseases… 
42,2023-04-19 21:04:12+00:00,1648794651909058561,30,5,Crypsis12,2737,en,False,https://t.co/kvFH59d1iH'],"Alligator did nothing wrong! @ComfortablySmug 

"
28,2023-04-20 08:32:30+00:00,1648967866790842369,23,5,himanshulalips,2078,en,False,https://t.co/kvFH59d1iH'],"Protecting your money and personal information is crucial when using #UPI, online shopping. 
Don't share your UPI p… "
3,2023-04-21 09:07:17+00:00,1649339008613507072,15,5,ramchowdaryanne,1832,en,False,https://t.co/kvFH59d1iH'],"Liquor marts aithe no Cards, UPI payments only cash "
26,2023-04-20 09:37:51+00:00,1648984312602300419,34,12,GauNandiSewa,891,en,False,https://t.co/kvFH59d1iH'],"Handicapped- leg disabled gaumata with 3 legs healing slowly,  grazing grass,  roaming everywhere.

Pray and help t… "
43,2023-04-19 16:19:37+00:00,1648723032091795458,109,46,GauNandiSewa,891,en,False,https://t.co/kvFH59d1iH'],"Old labor men brought watermelons for spine injured Baby cow.

Inspire and send food for suffering gaumata.

PHONEP… "
59,2023-04-19 08:26:54+00:00,1648604071862104066,23,14,GauNandiSewa,891,en,False,https://t.co/kvFH59d1iH'],"Orphaned handicapped leg disabled gaumata babies eating food with elder brother Nandi.

Donate 1 pack carrots at Rs… "
53,2023-04-19 10:52:01+00:00,1648640588198350849,12,10,Sunbird_EkStep,533,en,False,https://t.co/kvFH59d1iH'],"India has achieved 85% financial inclusion through Aadhaar &amp; UPI. Listen in to @pramodkvarma, Former Chief Architec… "
45,2023-04-19 16:07:08+00:00,1648719892152213504,123,5,IpsVerma2,455,en,False,https://t.co/kvFH59d1iH'],Can anyone guess the name of this fruit or (rasayan fal) 😂😂 i will give you my all UPI gift vouchers. 
56,2023-04-19 09:32:40+00:00,1648620621377703936,19,38,Ajay_Jonnakuti1,212,en,False,https://t.co/kvFH59d1iH'],Our friend Dharavath Sreeram nayak (CSE-B SRKREC)21B91A0582 is suffering from blood cancer it is estimated that an… 
57,2023-04-19 09:25:15+00:00,1648618752496521216,7,8,FMA4rNeedy,35,en,False,https://t.co/kvFH59d1iH'],Our friend Dharavath Sreeram nayak (CSE-B SRKREC)21B91A0582 is suffering from blood cancer it is estimated that an… 
31,2023-04-20 07:55:08+00:00,1648958463094161408,28,51,maxmemaxme,6,en,False,https://t.co/kvFH59d1iH'],"On my last ₹2k. Please help. 

UPI
Urgent 🆘 
mxmax@axisbank
muskaanpalod00@okaxis
Number: 8123737213 "
