,Date,ID,Tweet,likes,retweet,Username,Followers,language
28,2023-04-22 02:27:16+00:00,1649600728183488513,"An inspiration for all of us

'Encyclopedia of Forests', Goddess of Forests #PadmaShri Tulasi Gowda 

She is an env… https://t.co/DJai5fd2LG",50,10,DpHegde,3339,en
29,2023-04-22 02:16:22+00:00,1649597984282144769,"“The party is above any individual and no one should be in a hurry in the Congress,” says party president Mallikarj… https://t.co/J4pzLnZXog",14,7,nistula,209691,en
30,2023-04-22 02:14:31+00:00,1649597519687716864,"Wishing all Musilim Friends 
 #HappyRamzanl ☪️ On behalf of @satyakumar_y Anna Sena Karnataka Team 💐💐

#EidMubarak… https://t.co/IsmoCyWdpt",22,12,SatyannaTeam,200,en
31,2023-04-22 02:07:18+00:00,1649595702903820294,"Congress claims 'Brahmin controlled' BJP is sidelining Lingayats. But the facts are:

Lingayats form 17% of Karnata… https://t.co/F2PSAiAHmJ",179,47,cogitoiam,33057,en
32,2023-04-22 02:04:47+00:00,1649595070918836225,A very natural scene from Karnataka that shows pure love for our #PrimemInister @narendramodi. When asked did you d… https://t.co/RkGZfX7UCF,14,7,Jayanthee,3431,en
33,2023-04-22 02:00:58+00:00,1649594109533859843,PM #NarendraModi called former Karnataka minister #KSEshwarappa and praised his dedication to the party and express… https://t.co/iJZGBXgYBg,18,6,ieElections,7071,en
34,2023-04-22 02:00:00+00:00,1649593867363311616,#ExpressFrontPage | Recalling the chaos and confusion that prevailed when protests erupted over the hijab ban in PU… https://t.co/5Vz7h9ypUt,43,11,IndianExpress,4266909,en
35,2023-04-22 01:59:11+00:00,1649593661775306753,"D K Shivakumar says that once they come to power, they will reverse the no conversion bill, Gohatya bill etc etc. H… https://t.co/vl0BKd0aYa",10,11,ramug0137,6416,en
36,2023-04-22 01:45:20+00:00,1649590175574663168,"Finally, even after all the dirty tricks by BJP, nomination paper of Karnataka Congress President DK Shivkumar has… https://t.co/AeLGzNSRge",108,54,RavinderKapur2,11068,en
37,2023-04-22 01:44:42+00:00,1649590015842988042,The people of Karnataka have sounded the bugle for the change of the 40%  BJP commission govt.… https://t.co/GrnWjmCPo4,37,11,Kap57608111,7552,en
38,2023-04-22 01:34:50+00:00,1649587535020978176,Union Home and Cooperation Minister Shri @AmitShah will attend India Today RoundTable Karnataka on 22 April 2023.… https://t.co/HXz91hMyu6,20,6,BJP4Jharkhand,177929,en
39,2023-04-22 01:29:33+00:00,1649586201987534848,"#EidMubarak wishes to all 💐💐

Wish you happy and prosperous life to all 💐 🙏 

#Ajithkumar #Ak62… https://t.co/KKHcHniSNF",62,28,Karnataka_AFC,29356,en
40,2023-04-22 01:21:02+00:00,1649584062561148928,"🙏🚩🌸🌺Veer Anjaneya Swamy, Mahalakshmi Layout, #Bengaluru. Jai Hanuman🙏🙏. One of the tallest in #Karnataka sculpted a… https://t.co/YrnXdzwbP2",14,6,uday_birje,1007,en
41,2023-04-21 22:12:53+00:00,1649536712949788677,"CM of Uttar Pradesh, Ajay Singh Bisht, is one of the star campaigners for Karnataka elections.😂
#40PercentSarkara https://t.co/3X1c37NCZJ",71,48,WilfredQuadros1,7407,en
42,2023-04-21 21:28:53+00:00,1649525639295406080,"How Congress finally saves Karnataka from being ruined by BJP.🤣
#KarnatakaElection2023 #Karnataka https://t.co/DmlSEekjzD",19,7,ThinkingGuy6,1312,en
43,2023-04-21 20:58:30+00:00,1649517991254450177,"BJP steps up Karnataka campaign; Nadda holds roadshow, Shah meets state leaders  

Read @ANI Story |… https://t.co/qJpKmJBcjc",71,9,ani_digital,427317,en
44,2023-04-21 20:56:11+00:00,1649517408258867201,PM @narendramodi will hold 20 rallies in Karnataka in view of the upcoming elections. 🧐 https://t.co/KbEURhSnsl,314,179,WilfredQuadros1,7407,en
45,2023-04-21 20:26:35+00:00,1649509957920862209,"The functioning of the BJP high command in Karnataka elections is clear:
- Local leadership doesn’t matter, only Mo… https://t.co/rbpVikv7j6",224,52,PriyankKharge,160102,en
